"name,tagline,tags,abv,origin"
"Miller Lite,Porch Slammer Edition,chill,smooth,evening,breeze,relaxed,4.2%,Milwaukee,WI"
"Miller Lite,Tailgate Hero,bold,crisp,freedom,parking lot,loud,4.2%,Milwaukee,WI"
"Miller Lite,Backyard Glow-Up,refreshing,minty,lawn chairs,grill,sunset,4.2%,Milwaukee,WI"
"Miller Lite,Float Trip Fuel,river,waterproof,vibes,tubing,plastic bag,4.2%,Milwaukee,WI"
"Miller Lite,The Breakup Buffer,easy,uncomplicated,distraction,ice cold,low stakes,4.2%,Milwaukee,WI"
"Miller Lite,Power Mow Juice,gasoline-adjacent,masculine,lawn,green,precision,4.2%,Milwaukee,WI"
"Miller Lite,Firework Chaser,pop,bang,late night,patriotism,mosquitoes,4.2%,Milwaukee,WI"
"Miller Lite,Uncle’s Playlist Pairing,dad rock,warm can,hand gestures,AC/DC,4.2%,Milwaukee,WI"
"Miller Lite,Shower Beer Elite,steamy,secret,quick,sneaky,refreshment,4.2%,Milwaukee,WI"
"Miller Lite,Post-Breakdown Sippin’,therapeutic,silent,cheap,alone,healing,4.2%,Milwaukee,WI"
"Miller Lite,Dive Bar Standard,neon,stale air,friend of last resort,darts,4.2%,Milwaukee,WI"
"Miller Lite,No Thoughts Just Lite,neutral,beige,existential drift,fridge,4.2%,Milwaukee,WI"
"Miller Lite,Romantic Failure Recovery Kit,sarcasm,sweat,pity party,takeout,4.2%,Milwaukee,WI"
"Miller Lite,Parking Lot Philosopher,sips not gulps,vape clouds,existence,vague advice,4.2%,Milwaukee,WI"
"Miller Lite,Cooler Clearance Special,last one,too warm,still counts,desperation,4.2%,Milwaukee,WI"
"Miller Lite,Mud On Them Tires,warm,dirty,sweaty,mudhole,bigtires,4.2%,Milwaukee,WI"
"Miller Lite,Party Cove Boat Party,lake,cooler,day drinking,sunlight,boat,4.2%,Milwaukee,WI"
"Miller Lite,Bass Pro Clearance Sale,parking lot,mall,fishing,cheap,poser,4.2%,Milwaukee,WI"
"Miller Lite,Big Green Tractor,afternoon,pasture,tractor,love,romance,4.2%,Milwaukee,WI"
"Miller Lite,After Work Hoedown,happy hour,stressed out,after work,family,Friday,4.2%,Milwaukee,WI"