title,artist,tags,spotify_url
Beer Never Broke My Heart,Luke Combs,"beer,heartbreak,anthem",https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx?si=430e6725cd93410d
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,"escape,alcohol,island vibes",https://open.spotify.com/track/5oHHMDcVOmPSFrCgdbHPdb?si=7b57e2a3672543ea
Drunk on a Plane,Dierks Bentley,"sad,funny,travel",https://open.spotify.com/track/1soxUgYIZb1qx1c7o1Lc7z?si=db4ea70c7c744e4d
Red Solo Cup,Toby Keith,"stupid,party,drunk anthem",https://open.spotify.com/track/4YKAOXyqkKZ5gOZR0AmVMN?si=70b63b2baa2f4e2c
My Kinda Party,Jason Aldean,"get down,tailgate,party",https://open.spotify.com/track/7yZ93UxLRiF6eaiBrYkWfr?si=3a18dbb5e08d415f
Boot Scootin' Boogie,Brooks and Dunn,"country,honky tonk,dance",https://open.spotify.com/track/6iKWr2XH1DyT7TQzDZlvzd?si=af07732d070749ef
Drink in My Hand,Eric Church,"weekend,work,simple pleasure",https://open.spotify.com/track/1cktZnxiONH0hR6Q3DKy8h?si=e93e3304ff974b60
Alcohol,Brad Paisley,"meta,drunk philosophy,satire",https://open.spotify.com/track/5wKaxpvqXq95IaoAVPLgoi?si=f4f16fceda1b44dc
There's A Tear In My Beer,Hank Williams,"lonely,cry,vintage",https://open.spotify.com/track/4vxLtRJOJXzkBHbfRfBpCW?si=2914634337744bd7
Chattahoochee,Alan Jackson,"river,hometown,beer",https://open.spotify.com/track/59kHPbwyyCApYA8RQQEuXm?si=173cfe27c5194e73
"No Shoes, No Shirt, No Problems",Kenny Chesney,"island,carefree,drinks",https://open.spotify.com/track/208bYsadJ56km31IENM2qS?si=75ad3a133fe74c9f
D-R-U-N-K,David Allan Coe,"drunk,outlaw,heartbreak",https://open.spotify.com/track/7rT2HkehkqoRVZ5Qjoz40C?si=d512669d66cc4e01
Honky Tonk Badonkadonk,Trace Adkins,"booty,beer,bar floor",https://open.spotify.com/track/5iDfnRTdV2mrvMK886TLRg?si=f44cd859f3f04731
Pretty Good at Drinkin' Beer,Billy Currington,"mediocre,casual,alcoholic",https://open.spotify.com/track/7zKlSAsmB3p5959tsmLeqn?si=70f122c97820427f
Drunk (And I Don't Wanna Go Home),Miranda Lambert,"ladies night,female rage,revenge",https://open.spotify.com/track/0Lpehb4R7VcfpxRpol1s91?si=52b1bb2dbf824f5f
Til You Can't,Cody Johnson,"epic,YOLO,life lesson",https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3?si=0a6a8f2cb5e34f8e
Rain Is a Good Thing,Luke Bryan,"corn,beer,small town logic",https://open.spotify.com/track/1YhFtqwcN138S6ng3MT1nN?si=f3ce812632d64b0c
Bottoms Up,Brantley Gilbert,"party,hype,shots",https://open.spotify.com/track/0HZUp8fm9fh1Mitqx4CIOr?si=e22d949371084b15
Cold Beer Calling My Name,Jameson Rodgers ft. Luke Combs,"driving,beer,time off",https://open.spotify.com/track/3dV1fjKOlLnaNK5MeZHXGv?si=bfb7939b7c904e41
Here for the Party,Gretchen Wilson,"chaos,tequila,poor decisions",https://open.spotify.com/track/0SuzUhWAgStNIMZR4jEGgk?si=dbf8cc5970e5453e